report_id,company_inn,event_type,item_index,external_id,event_date,end_date,active,status,amount,title,authority,form,details_json
86d3d016-6766-5c10-ae7a-6b9c3c94a5d5,7813664770,execution,0,278140/24/98078-ИП,2024-11-10T21:00:00.000Z,,False,,517235.54,,,,"{""active"":false,""number"":""278140/24/98078-ИП"",""date"":{""$date"":""2024-11-10T21:00:00.000Z""},""amount"":""517235.54""}"
86d3d016-6766-5c10-ae7a-6b9c3c94a5d5,7813664770,execution,1,108289/26/78014-ИП,2026-03-30T21:00:00.000Z,,False,,52024.63,,,,"{""active"":false,""number"":""108289/26/78014-ИП"",""date"":{""$date"":""2026-03-30T21:00:00.000Z""},""amount"":""52024.63""}"
86d3d016-6766-5c10-ae7a-6b9c3c94a5d5,7813664770,execution,2,279990/26/78014-ИП,2026-07-28T21:00:00.000Z,,True,,24.63,,,,"{""active"":true,""number"":""279990/26/78014-ИП"",""date"":{""$date"":""2026-07-28T21:00:00.000Z""},""amount"":""24.63""}"
3e1a38f8-86a9-57d8-ac93-4e0919ba9bec,1660266560,execution,0,129505/19/16060-ИП,2019-05-26T21:00:00.000Z,,False,,200,,,,"{""active"":false,""number"":""129505/19/16060-ИП"",""date"":{""$date"":""2019-05-26T21:00:00.000Z""},""amount"":""200""}"
3e1a38f8-86a9-57d8-ac93-4e0919ba9bec,1660266560,execution,1,221131/24/16058-ИП,2024-05-01T21:00:00.000Z,,False,,500,,,,"{""active"":false,""number"":""221131/24/16058-ИП"",""date"":{""$date"":""2024-05-01T21:00:00.000Z""},""amount"":""500""}"
3e1a38f8-86a9-57d8-ac93-4e0919ba9bec,1660266560,execution,2,247175/24/16058-ИП,2024-05-15T21:00:00.000Z,,False,,11000,,,,"{""active"":false,""number"":""247175/24/16058-ИП"",""date"":{""$date"":""2024-05-15T21:00:00.000Z""},""amount"":""11000""}"
3e1a38f8-86a9-57d8-ac93-4e0919ba9bec,1660266560,execution,3,309221/24/16058-ИП,2024-06-06T21:00:00.000Z,,False,,500,,,,"{""active"":false,""number"":""309221/24/16058-ИП"",""date"":{""$date"":""2024-06-06T21:00:00.000Z""},""amount"":""500""}"
3e1a38f8-86a9-57d8-ac93-4e0919ba9bec,1660266560,execution,4,93959/24/16057-ИП,2024-06-06T21:00:00.000Z,,False,,500,,,,"{""active"":false,""number"":""93959/24/16057-ИП"",""date"":{""$date"":""2024-06-06T21:00:00.000Z""},""amount"":""500""}"
3e1a38f8-86a9-57d8-ac93-4e0919ba9bec,1660266560,execution,5,364790/24/16058-ИП,2024-07-03T21:00:00.000Z,,False,,500,,,,"{""active"":false,""number"":""364790/24/16058-ИП"",""date"":{""$date"":""2024-07-03T21:00:00.000Z""},""amount"":""500""}"
3e1a38f8-86a9-57d8-ac93-4e0919ba9bec,1660266560,execution,6,379661/24/16058-ИП,2024-07-08T21:00:00.000Z,,False,,500,,,,"{""active"":false,""number"":""379661/24/16058-ИП"",""date"":{""$date"":""2024-07-08T21:00:00.000Z""},""amount"":""500""}"
