report_id,company_inn,source,year,role,case_status,case_count,amount
c74003f6-3186-5bc9-b5c6-210103a5c4a6,9721159668,yearly,2023,plaintiff,all,1,957189
c74003f6-3186-5bc9-b5c6-210103a5c4a6,9721159668,yearly,2023,defendant,all,0,0
c74003f6-3186-5bc9-b5c6-210103a5c4a6,9721159668,status,,all,all,1,957189
c74003f6-3186-5bc9-b5c6-210103a5c4a6,9721159668,status,,plaintiff,finished,1,957189
86d3d016-6766-5c10-ae7a-6b9c3c94a5d5,7813664770,yearly,2025,plaintiff,all,1,0
86d3d016-6766-5c10-ae7a-6b9c3c94a5d5,7813664770,yearly,2025,defendant,all,2,390000
86d3d016-6766-5c10-ae7a-6b9c3c94a5d5,7813664770,status,,all,all,3,390000
86d3d016-6766-5c10-ae7a-6b9c3c94a5d5,7813664770,status,,plaintiff,finished,1,
86d3d016-6766-5c10-ae7a-6b9c3c94a5d5,7813664770,status,,defendant,finished,2,390000
3e1a38f8-86a9-57d8-ac93-4e0919ba9bec,1660266560,yearly,2026,plaintiff,all,2,402017
3e1a38f8-86a9-57d8-ac93-4e0919ba9bec,1660266560,yearly,2026,defendant,all,4,1654420
3e1a38f8-86a9-57d8-ac93-4e0919ba9bec,1660266560,status,,all,all,6,2056438
3e1a38f8-86a9-57d8-ac93-4e0919ba9bec,1660266560,status,,plaintiff,finished,1,265332
3e1a38f8-86a9-57d8-ac93-4e0919ba9bec,1660266560,status,,defendant,finished,2,1086395
3e1a38f8-86a9-57d8-ac93-4e0919ba9bec,1660266560,status,,defendant,pending,2,568026
3ba911ed-15b4-5e00-9a32-07dee2546fa7,5261137785,yearly,2026,plaintiff,all,2,287268
3ba911ed-15b4-5e00-9a32-07dee2546fa7,5261137785,yearly,2026,defendant,all,0,0
3ba911ed-15b4-5e00-9a32-07dee2546fa7,5261137785,yearly,2025,plaintiff,all,3,6006397
3ba911ed-15b4-5e00-9a32-07dee2546fa7,5261137785,yearly,2025,defendant,all,1,10799
